,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,PRECTOTCORR,RH2M,WS2M,T2M_MAX,T2M_MIN,Biomass,Location
0,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_0.csv
1,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_0.csv
2,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_0.csv
3,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_0.csv
4,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_0.csv
5,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_0.csv
6,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_0.csv
7,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_1.csv
8,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_1.csv
9,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_1.csv
10,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_1.csv
11,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_1.csv
12,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_1.csv
13,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_1.csv
14,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_2.csv
15,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_2.csv
16,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_2.csv
17,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_2.csv
18,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_2.csv
19,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_2.csv
20,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_2.csv
21,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_3.csv
22,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_3.csv
23,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_3.csv
24,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_3.csv
25,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_3.csv
26,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_3.csv
27,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_3.csv
28,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_4.csv
29,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_4.csv
30,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_4.csv
31,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_4.csv
32,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_4.csv
33,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_4.csv
34,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_4.csv
35,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_5.csv
36,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_5.csv
37,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_5.csv
38,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_5.csv
39,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_5.csv
40,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_5.csv
41,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_5.csv
42,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_6.csv
43,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_6.csv
44,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_6.csv
45,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_6.csv
46,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_6.csv
47,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_6.csv
48,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_6.csv
49,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_7.csv
50,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_7.csv
51,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_7.csv
52,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_7.csv
53,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_Alta_7.csv
54,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_Alta_7.csv
55,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_Alta_7.csv
56,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_Alta_8.csv
57,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_Alta_8.csv
58,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_Alta_8.csv
59,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_Alta_8.csv
